dataset,model,task,RMSE,Accuracy,AUC-ROC,train_time_s,inference_time_per_sample_s,n_train,n_features
concrete,xRFM,regression,6.434946060180664,,,5.098307400010526,4.132361901761258e-06,659,8
concrete,XGBoost,regression,5.154178619384766,,,2.813168399967253,6.526212801728819e-06,659,8
concrete,RandomForest,regression,6.039029990971853,,,1.0868215002119541,0.00030707669878396595,659,8
energy,xRFM,regression,0.5075132846832275,,,4.383820299990475,5.486796235109304e-06,491,8
energy,XGBoost,regression,0.3542076647281647,,,3.9671327001415193,1.6458440386565218e-05,491,8
energy,RandomForest,regression,0.5352210877428486,,,1.0229226001538336,0.0001904450203755717,491,8
bike_sharing,xRFM,regression,66.10292053222656,,,114.7532735997811,2.0820003733078915e-06,11122,59
bike_sharing,XGBoost,regression,68.49918365478516,,,6.733962699770927,1.5945819241902495e-06,11122,59
bike_sharing,RandomForest,regression,71.70615443454388,,,7.136043600272387,2.5286814351510763e-05,11122,59
online_shoppers,xRFM,classification,,0.8909164639091647,0.9187514445639174,93.89211949985474,1.2291565252441301e-06,7891,75
online_shoppers,XGBoost,classification,,0.902676399026764,0.9298915446533549,1.4991534003056586,2.041822082833137e-06,7891,75
online_shoppers,RandomForest,classification,,0.8978102189781022,0.9148259991357739,1.9745082999579608,3.020743448936833e-05,7891,75
shuttle,xRFM,classification,,0.9981034482758621,0.9697942284439228,896.491626100149,1.4719568947651265e-06,37120,7
shuttle,XGBoost,classification,,0.9982758620689656,0.98056243305039,18.766179099678993,1.0179712747534115e-06,37120,7
shuttle,RandomForest,classification,,0.9987068965517242,0.9120179950046595,2.736570999957621,3.888988492732075e-06,37120,7
