dataset,model,task,RMSE,Accuracy,AUC-ROC,train_time_s,inference_time_per_sample_s,n_train,n_features
concrete,xRFM,regression,5.612095355987549,,,1.3570711999200284,4.123301097586703e-06,659,8
concrete,XGBoost,regression,5.154178619384766,,,2.7333496999926865,6.449677074225589e-06,659,8
concrete,RandomForest,regression,6.039029990971852,,,1.1101894001476467,0.00026775145613886777,659,8
energy,xRFM,regression,0.5118644833564758,,,0.8630949999205768,6.5712105015139565e-06,491,8
energy,XGBoost,regression,0.3542076647281647,,,3.8390932003967464,1.3428138472236596e-05,491,8
energy,RandomForest,regression,0.5352210877428486,,,1.0105320001021028,0.0002008961035882111,491,8
bike_sharing,xRFM,regression,65.62730407714844,,,26.754760600160807,2.1209820013994865e-06,11122,59
bike_sharing,XGBoost,regression,68.49918365478516,,,6.985880300402641,1.5932872893569522e-06,11122,59
bike_sharing,RandomForest,regression,71.70615443454388,,,7.264220700133592,2.4135414259826192e-05,11122,59
online_shoppers,xRFM,classification,,0.8925385239253852,0.9138512325270572,20.627086599823087,2.079683656356856e-06,7891,75
online_shoppers,XGBoost,classification,,0.902676399026764,0.9298915446533549,1.4843926997855306,1.742727674340422e-06,7891,75
online_shoppers,RandomForest,classification,,0.8978102189781022,0.9148259991357739,1.8722939998842776,3.28782373834346e-05,7891,75
shuttle,xRFM,classification,,0.9981896551724138,0.9121705985960104,211.07610929990187,2.1605517303078682e-06,37120,7
shuttle,XGBoost,classification,,0.9982758620689656,0.98056243305039,18.366266899742186,1.032942525999642e-06,37120,7
shuttle,RandomForest,classification,,0.9987068965517242,0.9120179950046595,2.600569899659604,3.5539396433694947e-06,37120,7
