dataset,model,task,RMSE,Accuracy,AUC-ROC,train_time_s,inference_time_per_sample_s,n_train,n_features
concrete,xRFM,regression,6.434946060180664,,,4.982894999906421,4.077832060820849e-06,659,8
concrete,XGBoost,regression,5.154178619384766,,,2.5159686002880335,6.674757245385531e-06,659,8
concrete,RandomForest,regression,6.039029990971853,,,1.141546499915421,0.00025647783178751714,659,8
energy,xRFM,regression,0.5075132846832275,,,4.359189899638295,5.696753031892695e-06,491,8
energy,XGBoost,regression,0.3542076647281647,,,4.049815299920738,1.5496319659796112e-05,491,8
energy,RandomForest,regression,0.5352210877428486,,,1.031976900063455,0.0002086885279504123,491,8
bike_sharing,xRFM,regression,65.88978576660156,,,115.3605406996794,2.9613061082496884e-06,11122,59
bike_sharing,XGBoost,regression,68.49918365478516,,,7.0282208998687565,1.586833495416653e-06,11122,59
bike_sharing,RandomForest,regression,71.70615443454388,,,7.204409100115299,2.4647583445876342e-05,11122,59
online_shoppers,xRFM,classification,,0.8994322789943228,0.9174814844590046,94.17210979992524,1.249689053392597e-06,7891,75
online_shoppers,XGBoost,classification,,0.902676399026764,0.9298915446533549,1.5051684998907149,1.8168153419031198e-06,7891,75
online_shoppers,RandomForest,classification,,0.8978102189781022,0.9148259991357739,1.9880756000056863,3.4879507971804156e-05,7891,75
shuttle,xRFM,classification,,0.9978448275862069,0.9804867500679141,921.6621180996299,2.1179396680545536e-06,37120,7
shuttle,XGBoost,classification,,0.9982758620689656,0.98056243305039,18.93085140036419,1.0480057453501157e-06,37120,7
shuttle,RandomForest,classification,,0.9987068965517242,0.9120179950046595,2.9257529000751674,3.574954027352833e-06,37120,7
